skillDevelopment,location,reviewText,overallScore,workSatisfaction,jobFunction,companyCulture,postedon,pros,careerGrowth,salaryBenefits,company,cons,workLifeBalance,jobSecurity
5,Bhubaneswar,Very good,5,5,Executive/ Sr Executive - Administration,5,3-May-21,The working environment here is very friendly.,5,5,Infosys,Nothing,5,5
5,,,5,5,System Engineer for 6 months in Hyderabad/Secunderabad,5,3-May-21,"It's been great to be a part of Indias one of leading IT gaint, when it comes to skilling and working it's awesome .",5,5,Infosys,,5,5
5,Pune,,4,4,Associate/senior Associate -(technical),4,25-May-21,Management support,3,4,Infosys,Work days:,4,5
4,Bangalore,Facilities are chargeable,4,3,Corporate Finance,4,4-Apr-21,Work culture is good.,3,3,Infosys,Compensation and benefit,3,4
2,Bhubaneswar,,4,3,Senior Systems Engineer,5,4-Apr-21,Loyal to their employees.,2,3,Infosys,Salary is very low compared to market.,4,5
5,Banglore,,5,5,Product Developer,5,26-Mar-21,I have learnt a lot in very small span of time,5,5,Infosys,Nothing as such,5,5
5,Chennai,Really enjoying the work place,5,4,Senior Process Executive,5,6-Dec-20,Job security and management is excellent,5,4,Infosys,Ratings and compensation Can be even more good for people who really work hard in team,4,5
4,Hyderabad/Secunderabad,,3,4,Senior Test Engineer,4,22-Mar-21,"Job security, work life balance",3,1,Infosys,Hikes and compensation for existing employees,4,4
5,,,3,3,Test Analyst for 1.1 years in Chennai,4,7-Apr-21,New Learnings,3,2,Infosys,Too much of exams pressure,2,4
5,Bangalore Rural,,4,5,AWS And Devops - Technology Analyst,5,6-May-21,Career growth and work-life balance is good,5,4,Infosys,Work days:,5,5
5,PUNE,,5,3,System Engineer,5,2-Aug-21,good campus,3,3,Infosys,work mismatch,5,4
4,Pune,,4,3,Associate/senior Associate -(nontechnical),4,1-Aug-21,Work culture,3,3,Infosys,Career growth,4,4
4,Mysuru,,4,4,Test Engineer,4,25-Nov-20,Great infrastructure and work environment. Flexible work timings.,4,3,Infosys,Salary and hikes are low. Promotion cycle takes long duration.,4,5
4,Pune,,4,4,Senior System Engineer,5,16-Aug-20,They are giving WFH until the situation comes under control. They are giving reimbursement for wifi connection and sending laptop to the employees via courier service.,4,5,Infosys,There is a lot of politics in some project. Some manager can even destroy our profile and we feel helpless because managers misuse the company policies against us as they know the loopholes better than us. Note: this depends on project. Some projects are good.,5,5
5,Pune,,5,4,Senior Executive Operations,5,5-Apr-21,Job Security,5,3,Infosys,Not much hike,5,4
4,Bangalore,Good.,4,5,Senior Accountant,4,14-Jun-21,Team activity.,4,3,Infosys,Salaries.,4,5
5,,,5,5,Infosys for 1.9 years in Hyderabad/Secunderabad,5,12-Apr-21,Work culture is very good,5,5,Infosys,Work days:,5,5
4,Pune,,5,3,Linux System Administrator,4,12-Apr-21,Mysore Training days,4,2,Infosys,Work life balance,3,3
4,Hydrabad,Fresher,4,4,Bpo Executive,4,11-Aug-21,Good,4,4,Infosys,Good,4,4
4,Pune,Menstrual leaves,5,5,Test Analyst,5,12-Jul-21,Team,3,2,Infosys,Work timings: ,3,5
4,Pune,I was into support and maintenance of a PLM application.,4,3,Senior System Engineer,5,3-Apr-20,"Training provided to a fresher is of good level. Although, i have heard my colleagues talking about politics and all but i have never come across with such things while during my time at Infosys. It depends from project to project. I was working in a good project with an excellent team. All my team mates were very helpful and supportive. The cons are that you might end up getting a task/job role which you dont like but still you have bear with it.",4,3,Infosys,"The cons are that you might end up with a job role or responsibiliies whichbyou dont like. For example, i was trained in Java development but i ended up in a totally different project which had nothing to do with java. So resource management and allocation is not good. Also, you might get a project which is using some obsolete technology so this hampers your career growth.",5,5
5,Chennai,,5,4,Technology Analyst,5,11-Dec-20,Company policy. Career growth and learning. Company infrastructure is so good. Outdoor activities and sports.,4,4,Infosys,Few times the same politics.,5,5
2,Bangalore Rural,I am no ok,2,1,Senior Analyst,2,2-Apr-21,Nothing,1,1,Infosys,They are conducting programs to learn top technologies but not able to show us the relevant projects.,3,3
3,Bangalore,Average,4,3,Assurance Assistant,3,2-Apr-21,Work comfortable,2,2,Infosys,Compensation and benefits and growth,3,5
3,Hyderabad/Secunderabad,Good,3,2,Team Leader-quality Assurance/quality Control,3,25-Mar-21,Job security,2,1,Infosys,Compensation benefits are very poor,2,5
5,Netherlands,,5,5,Engineering Analyst,5,21-Apr-21,Must Experience,4,4,Infosys,Compensation,4,5
5,Chennai,Good,5,5,Technology Lead,3,7-May-21,Good culture,2,3,Infosys,No promotion,5,5
5,,,4,4,Technology Lead for 6.3 years in HYDERABAD,4,6-May-21,Work Culture,5,3,Infosys,Work Culture and Opportunities,4,5
3,,,3,5,Designer for 3.5 years in Chennai,5,23-Apr-21,"Talk about job security, carrier growth, Skill Development",5,5,Infosys,Work days:,4,5
4,,,4,4,Associate Analyst for 2.7 years in Hyderabad,5,16-Apr-21,work environment,5,3,Infosys,hikes and appraisal,4,4
5,Pune,,5,5,Senior Systems Engineer,5,16-Oct-21,Good,5,5,Infosys,Nothing is there at much to dislike,5,5
2,Mysore,,4,3,Senior Systems Engineer,4,2-Sep-21,Job Security,1,3,Infosys,Terrible Growth,3,5
3,Chandigarh,,3,3,Senior Systems Engineer,3,20-Aug-21,Chance to work on niche technology if you're lucky.,3,3,Infosys,No zeal/motivation to do good.,3,3
5,Hyderabad/Secunderabad,Good,5,3,Senior Consultant,5,30-Apr-21,Overall good,3,2,Infosys,CTC is require correction,5,5
5,Hyderabad,It is good,5,5,Senior Process Executive,5,23-Apr-21,Good work environment.,5,5,Infosys,Work days:,5,5
5,Bangalore Rural,Excellent,5,5,Krishnagiri,5,22-Apr-21,Infrastructure,5,5,Infosys,Work days:,5,5
5,,,5,5,Technology Analyst for 5.9 years in Chennai,5,18-Feb-22,Job security,5,4,Infosys,There is nothing to dislike.. Infosys let people evolve,4,5
5,Pune,,5,5,System Administrator,5,11-Aug-21,work life balance,5,5,Infosys,,5,5
1,Bangalore,,3,2,Software Developer,3,15-Jun-21,Job security,2,3,Infosys,Low Hikes,3,4
4,Bangloar,,4,4,Senior Executive Officer,5,16-May-21,It is good experience.,3,3,Infosys,No Reason to dislike about wotking at infosys.,4,5
5,,Good,5,5,Technology Lead for 9.8 years in Chennai,5,9-Apr-21,Opportunity for career development,5,3,Infosys,Nothing,4,4
5,,Great place to work,5,5,Senior Project Manager for 12.9 years in Hyderabad/Secunderabad,5,8-Apr-21,Everything,5,3,Infosys,Compensation,5,5
5,Pune,Great,5,5,Senior Associate,5,8-Apr-21,Job Security,5,4,Infosys,Not Applicable,5,5
4,Pune,,4,3,Senior Systems Engineer,4,9-Sep-21,Campuses are the best,3,3,Infosys,Less appreciation,3,5
3,,,3,2,Technical Support Executive for 2.5 years in Nagpur,3,17-Jun-21,Good work environment and cluture,2,3,Infosys,Carrier growth is not there,4,3
5,,Good,5,4,Technology Lead for 1.1 years in Bengaluru,4,30-Apr-21,Good to be in a part of team.,5,3,Infosys,Nothing,3,5
5,Chennai,,5,5,Technical Lead,5,23-Apr-21,Job security,5,5,Infosys,Compensation,5,5
1,Pune,,3,1,Senior Consultant,3,23-Apr-21,Job security,1,3,Infosys,projects can be assigned without even looking at your skillset. If you get mapped to a wrong project you will be trapped,5,5
5,Bhubaneswar,,4,5,Test Engineer,3,5-Apr-21,The project I am working on is very good. Lots of growth opportunity.,1,2,Infosys,Very bad hike system,4,5
3,Pune,,4,4,Associate/senior Associate -(nontechnical),4,3-May-21,good work culture and job security,3,3,Infosys,nothing,4,4
4,Pune,,5,4,Technical Analyst,4,3-May-21,Work life balance is good but financial growth is slow.,4,4,Infosys,Financial growth,5,4
5,BANGALORE,,4,4,Sap Sd,3,28-Jul-21,My team is good,5,3,Infosys,Low salary,4,4
4,Pune,,4,4,Senior Systems Engineer,4,26-Jun-21,Good company to work with,4,4,Infosys,Work days:,3,5
5,Mangalore,,5,5,Assistant Accountant,5,25-Apr-21,Work Culture,5,1,Infosys,Compensation,5,5
5,Pune,Nice,5,4,Technology Lead,5,27-Feb-21,They are always supported with multiple virtual program even if people wfh.,2,1,Infosys,I personally don't have any negative about infosys,3,5
4,Pune,Good,5,5,Software Test Analyst,5,19-Feb-21,Work life balance and Job security,4,2,Infosys,HIKE ISSUE VERY POOR,5,5
4,Pune,,4,4,Associate/senior Associate -(nontechnical),5,22-Mar-21,"Great teams, Leadership is helpful, Great work-life balance",4,4,Infosys,"Slow growth, Not many opportunities for functional growth.",5,5
5,Chennai,Great,5,5,Technology Analyst,5,2-Jun-21,Good work life balance,5,5,Infosys,Salary,5,5
4,Bengaluru,,5,5,Process Executive,5,10-Oct-21,Excellent,4,4,Infosys,Excellent,4,4
3,Pune,,3,3,Quality Assurance And Testing,3,10-Jun-21,Its good if you want chill life,3,3,Infosys,No career growth same mundane work,4,5
4,Mysore,Nice work experience,4,4,Technology Analyst,4,5-Nov-20,"Nice place to work, hands down for infrastructure. Managers are helpful(at least mine)",3,3,Infosys,expect less pay than market standards at least you are working In this company from long time,4,5
5,Hyderabad/Secunderabad,Very poor work life balance,3,2,Test Engineer,3,6-Aug-21,Good job security,4,1,Infosys,Very less pay for freshers,1,5
4,Electronic City,I have struggled a lot. But the did get to learn from my project.,1,1,Senior System Engineer-ETL,1,27-Nov-20,Job security,1,1,Infosys,No work-life balance. No career growth. Organisation policies are not employee friendly.,1,4
5,Pune,,5,5,System Engineer,5,2-Oct-19,The experience with an organization was good at all. I learned and developed many more technical as well as management skills.,5,5,Infosys,Not a single thing except salary,4,5
3,Bangalore,It's Good.,4,4,Senior Process Executive,5,7-Jul-21,..,4,3,Infosys,..,4,5
4,,It's good,5,5,Senior Process Executive for 2.9 years in Bangalore,4,3-May-21,It was a great experience,5,4,Infosys,Ntng,4,5
5,,Superb,5,5,Engineering Software for 1.5 years in Hyderabad,5,13-Apr-21,Perfect place for work culture & skill learning,5,3,Infosys,Nothing much,5,5
4,Pune,,5,3,Specialist Programmer,5,26-Apr-21,Training and skills development,3,2,Infosys,Salary hikes,4,5
3,,Hell,3,1,Senior Consultant for 1.9 years in Bhubaneswar,2,17-Apr-21,Worst management n work culture,3,1,Infosys,Work days:,2,4
4,Mangalore,,3,3,Technology Analyst,4,19-Apr-22,I feel that Job security is if you are good performer.work culture is also good.,3,3,Infosys,Work days:,4,4
5,Chennai,Best,5,3,Test Engineer,5,25-Apr-21,Work life balance,4,1,Infosys,Compensation,5,5
4,Pune,,4,4,Senior Systems Engineer,5,18-Apr-21,Everything is good,4,3,Infosys,Salary hike,4,5
3,Pune,Hectic,3,5,Technology Lead,4,27-Mar-21,Infrastructure,3,2,Infosys,Compensation,2,4
5,Bengaluru,,5,5,Test Engineer,5,5-Apr-21,Good learning. Full support of leadership.,5,3,Infosys,Work days:,5,5
5,Pune,,4,1,Senior Systems Engineer,4,4-Apr-21,"Job security, Infrastructure",1,1,Infosys,Working in legacy technologies,3,5
3,Bangalure,Good,4,5,Retail Dss,4,24-May-21,Any job my favorite company,5,3,Infosys,Nothing any dislike,3,4
3,Hyderabad/Secunderabad,,3,2,Oracle,3,25-Jun-21,Provide intial kick to your carrer,2,1,Infosys,You Have to work on support projects 24/7,3,5
4,,Good,4,4,Senior Systems Engineer for 1.4 years in Hyderabad/Secunderabad,5,9-May-21,Great place to work and exceptional work culture.,4,3,Infosys,Parking charge.,4,5
5,Pune,,5,5,Test Engineer,5,9-Apr-21,Work culture and environment is really good.,5,5,Infosys,Work days:,5,5
1,Pune,Not a all good,1,1,Senior Technical Process Executive,3,19-Apr-22,Never in your life join this company this is the worst company which throws you out even after being the best performer,1,1,Infosys,No career growth only support projects no salary hikes,2,1
4,,,4,4,Process Lead for 6.9 years in Chennai,4,9-May-21,"Job security, Good work environment",4,4,Infosys,Work timings: ,4,4
5,Pune,Interesting .,5,5,Junior Accountant,5,9-May-21,Good work environment.,5,4,Infosys,Nothing.,5,5
3,Bangalore Rural,Good,5,5,Senior Associate Lead,5,21-Mar-21,"The work culture, ethics, work life balance",2,2,Infosys,Compensation only nothing else,5,5
5,Bangalore,Overall experience is good,5,4,Process Executive,5,3-Nov-20,The HR policies are the best in the class ensuring the rights of employees are safeguarded if employees make use of those effectively.,5,2,Infosys,Overtime benefits are not a part of the compensation even though some clients require to work overtime.,3,5
4,,,4,4,Technical Analyst for 4.3 years in Pune,4,3-Apr-21,"Learning Experience, work-life, and Job-security",3,2,Infosys,compensation model,4,5
5,Pune,Excellent,3,3,Cenior Process Associate,5,18-Mar-21,Yes it is good co and feeling comfortable to work no work pressure and rest all is good,4,4,Infosys,No,3,3
2,Bangalore Rural,,3,3,Consultant,4,1-May-21,Job security is good,2,2,Infosys,Career and financial growth,4,5
2,Coimbatore,,4,1,L2 Engineer,2,27-Mar-21,job security,2,3,Infosys,work life balance,3,4
4,Trivandrum,,3,4,Consultant,3,27-Apr-21,"Job security, work culture",3,3,Infosys,Compensation,5,5
3,Hyderabad/Secunderabad,,3,5,Software Programmer,3,13-Apr-21,good work environment,1,1,Infosys,no career growth and too low hike,5,5
3,Chandigarh,,3,3,Technology Lead,3,1-Apr-21,Job Security,3,2,Infosys,Growth Opportunities,2,4
3,Hyderabad/Secunderabad,Timings are not flexible,3,3,Software Engineer,3,4-May-21,Good,3,3,Infosys,"Lack of motivation,",3,3
3,Bengaluru/Bangalore,Good,5,5,Process Specialist,5,20-Apr-22,"Job security,",5,3,Infosys,Less salary.,5,5
5,Hyderabad/Secunderabad,,4,4,Technical Analyst,5,18-Jun-21,Work Culture and job sevurity,4,3,Infosys,Yearly Hikes,3,5
5,Coimbatore,Great,5,3,Team Lead Hr,5,27-May-21,Great company,4,2,Infosys,Take home is very less,5,4
2,Pune,,2,2,Senior Associate Consultant,1,30-Mar-21,infrastructure and facilities,1,1,Infosys,"zero work life balance, negligible salary appraisals",1,4
4,Bangalore Rural,,4,3,Associate/senior Associate -(technical),3,30-Mar-21,Job security and culture,3,1,Infosys,salary hikes,3,5
3,Bangalore,,3,3,Senior System Engineer,3,20-Jan-21,Job security and brand name,3,2,Infosys,"Office politics, management, less pay",3,5
2,Pune,Totally was work experience in Infosys BPM,2,1,Associate,2,11-Oct-20,no healthy work environment only they have a big name of Infosys they don't give salary in on time and there are many issues while working on the floor.,2,2,Infosys,"No compensation , and terrible work environment no time nahin money and unnecessary rules and regulations.",1,2
3,,,4,4,Consultant for 4.5 years in Indore,5,12-Apr-21,All good except Compensations and benefit.,3,2,Infosys,Work days:,5,5
3,Chennai,,3,1,Senior Systems Engineer,2,13-Jul-21,Training period at Mysuru was awesome,2,1,Infosys,Depend upon the projects,2,3
1,,,1,1,Senior Process Associate for 2.5 years in Hyderabad,1,12-May-21,Very worst no growth and salary also very less and not giving hike,1,1,Infosys,No growth in Infosys,1,1
4,Mysore,Good,4,4,Process Executive,4,12-May-21,Overall it is good experience working with such a big organization.,3,3,Infosys,Work timings: ,4,5
5,Bangalore Urban,Good,4,3,Process Executive,5,12-May-21,Company culture,3,3,Infosys,Pressure in my process,5,5
5,,,5,5,Senior Software Engineer for 3 years in Pune,5,12-May-21,best place to work.,5,4,Infosys,slow promotion,5,5
3,Bangalore Rural,Java Developer,4,4,Senior Systems Engineer,5,25-Mar-21,Working Environment.,4,3,Infosys,Salary/appraisal,5,5
5,Pune,Operation executive,3,3,Operations Executive,5,17-Sep-20,"Best Infrastructures, Learning opportunity is high, Best training, Health benefits, Lifestyle",3,2,Infosys,"Less Project opportunity, Less salary, Long time wait on Bench for Projects, When project given it take 2-3 months for live production, Randomly divided in job roles",4,5
3,Hyderabad/Secunderabad,,5,4,Test Engineer,5,7-Aug-21,Job security,4,4,Infosys,Work pressure,4,5
5,Pune,,5,4,Consultant,5,8-Aug-21,work life balance,5,3,Infosys,Compensation,5,5
5,Hyderabad,Good,5,5,Technology Analyst,5,6-May-21,Good to work with.,5,4,Infosys,C&B process.,5,5
4,Bangalore,,4,4,Senior Systems Engineer,4,22-Mar-21,Good work environment,3,2,Infosys,Salary compensation is ok,4,4
4,,,4,4,Senior System Engineer for 2.3 years in Hyderabad,4,9-Apr-21,I worked in Infosys around 2.5 years . Work life balance and work culture. Moreover Hyderabad SEZ campus is awesome.,4,2,Infosys,Salary is very low and hikes are very less. Career growth is very slow.,5,4
2,Mahindra City,,3,2,Technology Analyst,5,21-Jan-22,Job security Business process will be perfect,2,2,Infosys,Less Salary Less technical Growth,2,5
5,HYDERABAD,,5,5,Processing Specialist,5,30-Mar-22,It was great working with,5,5,Infosys,Work days:,5,5
5,Pune,Excellent,5,4,Senior Systems Engineer,5,1-Jul-21,Work timings: ,4,2,Infosys,,5,5
5,Bhubaneswar,,5,5,Technical Analyst,5,6-May-21,"Infosys provided opportunity to learn and thrive. Work Culture is great, open to ideas and very welcoming to new comers.",5,5,Infosys,Work timings: ,5,5
5,,GOOD,5,5,Senior Associate for 5 months in Pune,5,6-May-21,"Job security, work environment",5,4,Infosys,Salaries,5,5
5,Bangalore Rural,Good,4,3,Consultant,4,28-Apr-21,Good job security,3,3,Infosys,Less salary hike,4,4
5,Pune,Balanced,4,5,Technology Analyst,5,6-May-21,Good platform to work on,5,4,Infosys,Less hike,5,5
5,Hyderabad,,4,5,Senior Systems Engineer,5,6-May-21,Good work environment and splendid types of enjoyment,4,4,Infosys,Sometimes hike is not worthy. Will be not satisfied,4,5
5,Mysore,Awesome,4,4,Senior Testing Executive,5,23-Nov-20,"Good work environment and infrastructure is awesome. Teammates are supportive. There is huge opportunity to develop career knowledge. Hikes, promotions are fair. Security of job is high. Great platform for developing an individual.",5,3,Infosys,Work days:,4,5
4,Jaipur,,4,4,Assistant Accountant,4,23-Apr-21,Infosys is a good company to start their career. Infosys is a learning hub.,4,4,Infosys,Work days:,4,4
5,,,5,5,Sap Consultant for 1.7 years in Pune,5,21-Apr-21,Working environment and the protocol follow by all employees,5,5,Infosys,Nothing as of now,5,5
4,Bengaluru,,5,5,Quality Assurance And Testing,5,15-Apr-21,Work culture is very professional,3,3,Infosys,"Because of high employee strength and hierarchy ,sometimes you don't get enough opportunity to grow",3,5
5,Pune,,5,5,Senior Process Executive,5,15-Apr-21,Stress free work and good environment.,3,5,Infosys,SALARY HIKE,5,5
5,Banglore,,5,5,Sap Fico Consultant,4,23-Mar-21,Good work environment and culture,1,3,Infosys,There is a lot of politics,5,1
4,Pune,The work life has been quite flexible.,5,3,Senior Associate Consultant,5,4-Feb-21,The work culture is very much employee friendly.,3,4,Infosys,There is not much to dislike,4,4
3,Bangalore,,3,3,Accountant,3,9-Apr-21,"Its good to be in infosys, work life balance and job security",3,3,Infosys,Work days:,3,3
5,Hyderabad/Secunderabad,Cool,5,4,Sr. Associate Consultant,5,8-Apr-21,"Excellent Infrastructure, Cool Environment, Peaceful place, Co operative colleagues",5,4,Infosys,.,4,5
5,Hyderabad,,5,4,Operation Executive,4,28-Apr-21,It has great opportunites to work with infksgsy and can learn a lot,4,3,Infosys,Benifits and compensation,3,5
4,Jaipur,Good,3,5,Senior Process Executive,5,3-Apr-21,Many things that I can't explain in my word's.,5,3,Infosys,They pay less than others.,4,5
4,,It fine,5,3,Senior Associate Consultant for 5.5 years in Hyderabad/Secunderabad,5,12-Mar-21,The facilities and extra curriculum activities are the best.,5,2,Infosys,Variable pay,5,5
5,Pune,Good,5,5,Software Engineering Team Lead,5,14-Mar-21,"Work culture, opportunities",5,4,Infosys,Compansation and hikes can be better..,5,5
5,Trivandrum,Good,5,5,Technology Analyst,5,14-Jun-21,Really loved it,5,5,Infosys,No cons,5,5
4,Gurugram,,4,4,Technology Analyst,5,25-Mar-21,The company culture and process they follow is superb.,4,3,Infosys,Compensation & benefits are very limited.,4,5
5,,Good for married women's,5,5,Associate for 3.9 years in Hyderabad/Secunderabad,5,25-Mar-21,Except compensation and hikes all other aspects Infosys is best best best,5,1,Infosys,Hikes,5,5
4,Chennai,,4,4,Technical Analyst,4,25-Mar-21,Job security,4,3,Infosys,salary/appraisal,4,5
4,,,4,3,Test Engineer for 3.1 years in Hyderabad,4,18-Jul-21,Good,2,4,Infosys,Work timings: ,4,4
5,,It was good,5,4,Automation Test Analyst for 8.7 years in Chandigarh,4,20-Apr-22,Everything,3,3,Infosys,Taking people from outside for more salaries but internal hike is low,3,5
3,,Great,5,5,Technical Process Specialist for 1.5 years in Pune,5,3-Dec-21,Best to work if leave internal politics.,3,5,Infosys,Nothing,5,5
5,Chennai,Awesome,5,5,Software Test Engineer,5,19-Sep-21,Great working place... Great environment.,5,1,Infosys,Compensation,4,5
5,Hyderabad/Secunderabad,Satisfactory,4,5,Senior Consultant,4,7-Apr-21,Work-Personal Life Balance,3,4,Infosys,Internal IT Support is Slow,5,4
2,Pune,,3,2,System Engineer,2,27-Aug-21,Good,3,2,Infosys,Work life balance,3,4
5,Mysuru,,5,5,Digital Specialist,5,18-Aug-21,work culture,5,5,Infosys,salary,5,5
2,Pune,,1,1,Financial Analyst,1,13-Jun-21,Work culture is best,1,1,Infosys,My long term goal is successful employe in infosys organisation.,2,1
4,Banglore,,4,4,Specialist Programmer,4,14-May-21,"Good Work-Life Balance. Good to join as a Specialist Programmer, You can work for some premium clients.",4,3,Infosys,Hikes are low.,5,5
4,Pune,Good,5,3,Technical Support Manager,5,6-May-21,Compassion,2,2,Infosys,All good,4,5
2,Bangalore Rural,Everage,3,1,Desktop Support Engineer L1,2,7-May-21,Weather is good maintenance good,1,1,Infosys,No carrier growth opportunity here,1,3
5,Pune,Good.,4,4,Associate Consultant,4,20-Mar-21,I have learnt so many new things which enhanced my skill and shaped me as a professional.,4,3,Infosys,After project ends they guys keep employees on bench for long time.,4,5
3,,"Work life is awesome, you can give enough time to your family",5,5,Senior Systems Engineer for 3.1 years in Wakad Pune,5,12-Apr-21,Need to focus more on latest technologies,4,2,Infosys,Salary growth,5,5
5,Chennai,,5,5,Technology Analyst,5,6-Nov-21,Good place to settle,5,3,Infosys,,5,5
5,Bengaluru/Bangalore,,5,5,System Engineer,5,5-Nov-21,Better place for freshers,5,5,Infosys,,5,5
5,,,5,5,Technology Analyst for 6.6 years in Bangalore,5,4-Aug-21,Very good,5,5,Infosys,Nothing,5,5
4,,Good,5,5,Process Specialist for 1.7 years in Pune,4,3-Jul-21,Job security,4,3,Infosys,Work timings: ,4,5
5,Hyderabad/Secunderabad,Goof,5,5,Senior Consultant,5,2-Jul-21,Good,5,5,Infosys,Nothing,5,5
1,Jaipur,,1,2,Technology Analyst,3,6-Oct-21,Nothing at all. Nothing to be liked.,2,1,Infosys,Everything here has to be disliked.,4,5
5,Coimbatore,,5,5,Software Engineer,5,8-Sep-21,Good and friendly environment,5,5,Infosys,Appraisals and hikes,5,5
3,Banglore,,3,3,Senior Systems Engineer,3,8-Sep-21,Job security,3,1,Infosys,Support roles in projects,5,5
3,Bhubaneswar,,3,3,System Engineer,3,1-Apr-21,Pay is very less. In fact Infosys & TCS pays least among all the MNCs,3,2,Infosys,Work days:,3,5
5,Pune,,5,5,Senior System Engineer,5,1-Apr-21,Work culture Friendly environment Scope of upskilling,5,4,Infosys,Work days:,5,5
4,Hyderabad,,4,4,Senior System Engineer,4,11-Mar-21,Work life balance,3,3,Infosys,Hikes and compensational benefits.,5,4
1,Hyderabad,No work life,1,1,Sysyem Administrator,1,14-Oct-21,Nothing,1,1,Infosys,Everything,1,1
4,Pune,,4,5,Specialist Programmer,4,1-Jul-21,Policies,4,4,Infosys,Work days:,5,5
3,Pune,,3,2,Associate/senior Associate -(technical),2,22-Jun-21,Job security,2,2,Infosys,manager and work life balance,1,4
4,Bangalore Rural,,3,4,Sme Operation,5,28-Mar-21,Company culture is great,3,2,Infosys,Very low salary for BPO employees.,4,5
5,Bhubaneswar,Good,5,5,Senior Engineer,5,27-Mar-21,Infrastructure,5,2,Infosys,Compensation & benefits,5,5
5,Chennai,Average,4,4,Automation Analyst,3,27-Mar-21,Infosys culture and work ethic is good. Infrastructure is excellent.,3,2,Infosys,Work days:,3,5
4,Bangalore,,4,4,Technology Lead,5,6-Jun-21,Job security.,3,1,Infosys,Work days:,4,5
5,Hyderabad,,4,4,Senior System Engineer,5,4-Apr-21,Job security,5,1,Infosys,Compensation,5,5
5,Trivandrum,,5,5,Technology Analyst,5,28-Mar-21,Attractive work culture,5,2,Infosys,Yearly salary revision is very bad,5,5
5,Bangalore Rural,Yes,5,5,System Engineer,5,11-May-21,Yes....this company gives job security,5,5,Infosys,Don't know,5,5
3,Hyderabad/Secunderabad,,5,3,Consultant,5,17-Oct-21,,3,3,Infosys,,5,5
4,Bengaluru,,4,4,Associate Consultant,4,9-Sep-21,Good and nice team to work here,4,4,Infosys,As of now no negative,4,4
1,Pune,Good,1,1,System Engineer,5,30-Mar-21,Peace,1,1,Infosys,Low salary and alomost zero growth. 90 days Notice Period which is like trashing our careers.,5,5
4,Bangalore,Fought a lot to get a correct project and role according to my skill sets.,4,4,Senior System Engineer,5,21-Jul-19,Here there are amble of opportunities to upgrade your knowledge by various training & its internal mobile app for employees. It's the best place to enjoy & learn together. Work culture is good. If you are under a good manager & HR then all your dreams are your companies dream.,4,2,Infosys,"Salary is the biggest problem. We get single digit hike(0-8%) even after being best performer of team & lined up appreciations. Extremely poor salary , that's why all leave the firm in 2-3 yrs. Because internally they feel biased financially. Onsite opportunities are decreasing. If you are joining as a fresher then you will mappedto any project & role. Despite of your skill sets, you will be trained for the requirement & you have to work according to that. I was a java developer but worked on mainframe development & java support. So it's only on your shoulders to get the correct work which suits your skill sets & market requirement. Poor HR management for mapping people. DON'T BE ON BENCH FOR LONG. It can affect your career & knowledge both. No extra incentives to work from client location however expenses increase if you goto client location. Think wisely before saying yes for any role & project. Fight back if you deserve better with your proven knowledge company will definitely help you to get what you deserve.",5,5
3,Mysore,,4,3,Senior Systems Engineer,5,27-Jul-21,Totally depends on project and manager,3,2,Infosys,Work days:,4,5
4,Bengaluru,It is good without expecting hike,5,5,Analyst,5,19-Apr-21,Work life balance,4,3,Infosys,Hike,5,5
4,Pune,Its Good.,4,4,Associate Analyst,4,23-Mar-21,Carrier Growth opportunity Knowledge Management,4,3,Infosys,Benefits and Hikes,3,5
4,Pune,,2,1,Senior Process Executive,1,6-May-21,"No one is supportive, only politics on promoting",1,1,Infosys,"They don’t support in employees emergency condition, not even in family members death. They gave warning letter by mail not even by post after that they terminated employees.",4,1
4,Pune,,4,4,Technology,4,4-Apr-22,Job security and ethics,4,4,Infosys,No as of now,4,4
4,Bengaluru,Good,4,4,System Enginneer,4,12-Jul-21,Good,4,4,Infosys,Growth Opportunities,4,4
3,Bangalore,Good,3,5,Associate/senior Associate -(technical),5,7-Apr-21,Good in terms of job security only..hikes are less,2,1,Infosys,No internal hike..,5,5
5,Bangalore Rural,best life of Infosys,5,5,Back Office Executive,5,7-Apr-21,best company of Infosys,5,5,Infosys,my best choice of software company,5,5
4,Pune,,4,3,Senior Systems Engineer,4,18-Mar-21,It is good place to work. Good training provided for freshers.,3,4,Infosys,Low increment,3,5
3,Pune,,4,4,Technology Analyst,4,20-Sep-21,"Yes, it is good.",4,1,Infosys,,3,4
1,Mysore,Total Bullshit job.,1,1,Senior Systems Engineer,3,21-Aug-21,Nothing. No projects and cant join other units as well. No hike.,1,1,Infosys,Everything at Infosys.,1,5
5,Hyderabad/Secunderabad,,4,4,Senior Test Engineer,5,26-May-21,The work culture is best,5,3,Infosys,Work days:,4,5
2,Hyderabad,Nice campus,2,1,Technology Analyst,1,26-Apr-21,Campus,1,1,Infosys,Always looking for ways to exploit employees,2,3
4,Pune,,4,3,System Engineer,4,20-May-21,It was fine.,3,3,Infosys,They don't allow to change field of working.,3,4
5,Bengaluru,,5,4,Senior Systems Engineer,5,1-Apr-21,Work culture and learning benefits,4,4,Infosys,Compensation is not upto the competitive market,5,5
